Country,Goal,Conceded,Total Shots,Shots on target,Expected Goals,Total Passes,Succeeded Passes,Fouls,Wins,Loses,Draws,Possession,FIFA Ranking,Average Age,Average Height
Wales,0,2,10,3,0.89,501,390,9,0,1,0,0.62,19,26.1,181
Wales,0,3,7,1,0.35,329,257,16,0,1,0,0.35,19,26.1,181
Wales,1,1,7,3,1.55,403,308,10,0,0,1,0.41,19,26.1,181
USA ,0,0,10,1,0.63,421,352,15,0,0,1,0.44,14,25.2,181.9
USA,1,1,6,1,0.79,567,495,15,0,0,1,0.59,14,25.2,181.9
USA,1,0,12,5,1.18,474,397,10,1,0,0,0.51,14,25.2,181.9
USA,1,3,17,8,1.49,569,473,5,0,1,0,0.58,14,25.2,181.9
Uruguay,0,0,10,1,0.59,548,448,7,0,0,1,0.56,13,27.6,181.6
Uruguay,0,2,11,3,1.27,403,295,16,0,1,0,0.4,13,27.6,181.6
Uruguay,2,0,12,7,1.81,433,335,11,1,0,0,0.5,13,27.6,181.6
Tunisia,0,0,13,1,0.92,374,280,10,0,0,1,0.39,30,27.5,183.7
Tunisia,0,1,14,4,0.94,497,378,16,0,1,0,0.58,30,27.5,183.7
Tunisia,1,0,5,3,0.5,312,243,14,1,0,0,0.34,30,27.5,183.7
Switzerland,0,1,6,0,0.3,482,404,17,0,1,0,0.46,16,26.7,183.9
Switzerland,1,0,7,3,1.44,514,432,12,1,0,0,0.51,16,26.7,183.9
Switzerland,1,6,10,3,1.22,488,412,10,0,1,0,0.52,16,26.7,183.9
Switzerland,3,2,14,7,2.8,415,319,14,1,0,0,0.46,16,26.7,183.9
Spain,0,0,13,1,1.01,1019,926,14,0,1,0,0.77,6,26.7,182.4
Spain,1,1,7,3,0.62,634,542,13,0,0,1,0.64,6,26.7,182.4
Spain,1,2,12,5,1.04,1058,969,6,0,1,0,0.82,6,26.7,182.4
Spain,7,0,17,8,3.53,1045,978,8,1,0,0,0.82,6,26.7,182.4
South Korea,0,0,7,0,0.64,418,326,10,0,0,1,0.44,28,27.9,181.7
South Korea,1,4,8,6,0.48,529,458,13,0,1,0,0.47,28,27.9,181.7
South Korea,2,3,22,7,1.8,528,455,13,0,1,0,0.63,28,27.9,181.7
South Korea,2,1,13,6,1.71,357,281,9,1,0,0,0.38,28,27.9,181.7
Serbia,0,2,5,0,0.18,406,326,12,0,1,0,0.41,25,26.6,186.5
Serbia,2,3,12,4,1.32,466,363,18,0,1,0,0.54,25,26.6,186.5
Serbia,3,3,15,5,1.88,503,409,13,0,0,1,0.59,25,26.6,186.5
Senegal,0,2,15,4,0.89,385,307,13,0,1,0,0.47,18,27.1,184.6
Senegal,0,3,10,1,0.8,368,295,12,0,1,0,0.39,18,27.1,184.6
Senegal,2,1,14,3,2.14,267,181,11,1,0,0,0.39,18,27.1,184.6
Senegal,3,1,13,5,0.75,502,432,12,1,0,0,0.55,18,27.1,184.6
Saudi Arabia,0,2,16,5,1.73,537,456,15,0,1,0,0.64,53,26.9,179.2
Saudi Arabia,1,2,10,2,1.11,287,166,20,0,1,0,0.39,53,26.9,179.2
Saudi Arabia,2,1,3,2,0.15,266,181,21,1,0,0,0.31,53,26.9,179.2
Qatar,0,2,5,3,0.32,434,351,15,0,1,0,0.47,50,26.7,178.8
Qatar,0,2,5,3,0.14,452,371,9,0,1,0,0.37,50,26.7,178.8
Qatar,1,3,10,3,0.96,406,329,7,0,1,0,0.45,50,26.7,178.8
Portugal,0,1,12,3,0.92,663,567,9,0,1,0,0.73,9,28.3,181.6
Portugal,1,2,13,6,1.29,574,503,10,0,1,0,0.62,9,28.3,181.6
Portugal,2,0,15,3,1.33,603,501,10,1,0,0,0.6,9,28.3,181.6
Portugal,3,2,11,5,2,622,552,14,1,0,0,0.62,9,28.3,181.6
Portugal,6,1,15,9,2.28,449,372,12,1,0,0,0.48,9,28.3,181.6
Poland,0,0,6,2,0.94,322,228,15,0,0,1,0.39,26,26.9,184.6
Poland,0,2,4,0,0.32,317,245,6,0,1,0,0.27,26,26.9,184.6
Poland,1,3,12,3,1.75,456,377,8,0,1,0,0.45,26,26.9,184.6
Poland,2,0,9,3,1.56,297,228,18,1,0,0,0.36,26,26.9,184.6
Netherlands,1,1,2,1,0.1,506,418,15,0,0,1,0.54,8,27,183
Netherlands,2,0,10,3,0.67,436,355,13,1,0,0,0.53,8,27,183
